meter_id,timestamp,building_type,location_lat,location_lon,power_consumption,voltage,current,power_factor
EM_001,2026-04-27 08:00:00,office,40.7128,-74.0060,2850.5,240.2,11.8,0.92
EM_002,2026-04-27 08:00:00,residential,40.7260,-73.9897,1420.3,239.8,5.9,0.95
EM_003,2026-04-27 08:00:00,commercial,40.7489,-73.9680,5680.2,241.1,23.5,0.90
EM_004,2026-04-27 08:00:00,industrial,40.7505,-73.9972,8920.6,240.5,37.1,0.88
EM_005,2026-04-27 08:00:00,office,40.7614,-73.9776,3120.4,239.9,13.0,0.91
EM_001,2026-04-27 08:15:00,office,40.7128,-74.0060,3020.7,240.1,12.5,0.91
EM_002,2026-04-27 08:15:00,residential,40.7260,-73.9897,1580.1,239.7,6.6,0.94
EM_003,2026-04-27 08:15:00,commercial,40.7489,-73.9680,6120.5,241.2,25.3,0.89
EM_004,2026-04-27 08:15:00,industrial,40.7505,-73.9972,9580.3,240.4,39.8,0.87
EM_005,2026-04-27 08:15:00,office,40.7614,-73.9776,3350.2,240.0,13.9,0.90
EM_001,2026-04-27 08:30:00,office,40.7128,-74.0060,2950.3,240.3,12.2,0.92
EM_002,2026-04-27 08:30:00,residential,40.7260,-73.9897,1480.5,239.6,6.1,0.95
EM_003,2026-04-27 08:30:00,commercial,40.7489,-73.9680,5890.8,241.0,24.4,0.90
EM_004,2026-04-27 08:30:00,industrial,40.7505,-73.9972,9200.1,240.6,38.2,0.88
EM_005,2026-04-27 08:30:00,office,40.7614,-73.9776,3240.6,239.8,13.5,0.91
EM_001,2026-04-27 08:45:00,office,40.7128,-74.0060,3150.2,240.2,13.1,0.91
EM_002,2026-04-27 08:45:00,residential,40.7260,-73.9897,1620.3,239.9,6.7,0.93
EM_003,2026-04-27 08:45:00,commercial,40.7489,-73.9680,6250.4,241.1,25.9,0.89
EM_004,2026-04-27 08:45:00,industrial,40.7505,-73.9972,9750.5,240.3,40.5,0.87
EM_005,2026-04-27 08:45:00,office,40.7614,-73.9776,3420.7,240.1,14.2,0.90
EM_001,2026-04-27 09:00:00,office,40.7128,-74.0060,2780.1,240.4,11.5,0.93
EM_002,2026-04-27 09:00:00,residential,40.7260,-73.9897,1350.6,239.5,5.6,0.96
EM_003,2026-04-27 09:00:00,commercial,40.7489,-73.9680,5520.7,240.9,22.9,0.91
EM_004,2026-04-27 09:00:00,industrial,40.7505,-73.9972,8850.3,240.7,36.8,0.88
EM_005,2026-04-27 09:00:00,office,40.7614,-73.9776,3060.5,239.7,12.7,0.92
