sensor_id,timestamp,location_lat,location_lon,vehicle_count,avg_speed,congestion_level,road_type
SENSOR_001,2026-04-27 08:00:00,40.7128,-74.0060,1250,45.5,medium,highway
SENSOR_002,2026-04-27 08:00:00,40.7260,-73.9897,850,52.3,low,arterial
SENSOR_003,2026-04-27 08:00:00,40.7489,-73.9680,1450,38.2,high,highway
SENSOR_004,2026-04-27 08:00:00,40.7505,-73.9972,620,55.1,low,residential
SENSOR_005,2026-04-27 08:00:00,40.7614,-73.9776,920,48.7,medium,arterial
SENSOR_001,2026-04-27 08:15:00,40.7128,-74.0060,1420,42.1,high,highway
SENSOR_002,2026-04-27 08:15:00,40.7260,-73.9897,920,50.5,medium,arterial
SENSOR_003,2026-04-27 08:15:00,40.7489,-73.9680,1680,35.4,high,highway
SENSOR_004,2026-04-27 08:15:00,40.7505,-73.9972,580,54.2,low,residential
SENSOR_005,2026-04-27 08:15:00,40.7614,-73.9776,1050,45.3,medium,arterial
SENSOR_001,2026-04-27 08:30:00,40.7128,-74.0060,1550,38.9,high,highway
SENSOR_002,2026-04-27 08:30:00,40.7260,-73.9897,1080,48.2,medium,arterial
SENSOR_003,2026-04-27 08:30:00,40.7489,-73.9680,1800,32.1,high,highway
SENSOR_004,2026-04-27 08:30:00,40.7505,-73.9972,650,52.8,low,residential
SENSOR_005,2026-04-27 08:30:00,40.7614,-73.9776,1150,42.6,high,arterial
SENSOR_001,2026-04-27 08:45:00,40.7128,-74.0060,1380,41.5,high,highway
SENSOR_002,2026-04-27 08:45:00,40.7260,-73.9897,950,49.8,medium,arterial
SENSOR_003,2026-04-27 08:45:00,40.7489,-73.9680,1620,36.7,high,highway
SENSOR_004,2026-04-27 08:45:00,40.7505,-73.9972,720,51.3,low,residential
SENSOR_005,2026-04-27 08:45:00,40.7614,-73.9776,1000,46.9,medium,arterial
SENSOR_001,2026-04-27 09:00:00,40.7128,-74.0060,1100,48.2,medium,highway
SENSOR_002,2026-04-27 09:00:00,40.7260,-73.9897,780,53.6,low,arterial
SENSOR_003,2026-04-27 09:00:00,40.7489,-73.9680,1250,42.5,medium,highway
SENSOR_004,2026-04-27 09:00:00,40.7505,-73.9972,550,56.4,low,residential
SENSOR_005,2026-04-27 09:00:00,40.7614,-73.9776,880,50.1,low,arterial
